Customer_ID,Age,Gender,Income,Skin_Type,Previous_Cosmetic_Purchases,Purchase_Frequency,Monthly_Spend,Purchased_New_Product,Age_Group
CUST01685,25,Male,26500.0,Oily,6.0,0.48,130.0,1,18-25
CUST04915,45,Female,,Combination,5.0,0.37,130.0,1,36-45
CUST05304,45,Female,24000.0,Dry,5.0,0.44,180.0,1,36-45
CUST05769,31,Female,96200.0,Oily,4.0,0.39,190.0,1,26-35
CUST06974,29,Female,34300.0,,2.0,0.09,100.0,0,26-35
CUST01191,49,Female,108600.0,Dry,6.0,0.52,310.0,0,46-55
CUST05212,40,Female,47400.0,Sensitive,7.0,0.67,150.0,0,36-45
CUST09629,45,Male,76900.0,Dry,2.0,0.26,150.0,0,36-45
CUST05937,20,Male,58000.0,Combination,4.0,0.4,180.0,1,18-25
CUST07612,28,Female,60800.0,Normal,3.0,0.26,100.0,1,26-35
CUST09623,33,Male,17800.0,Normal,3.0,0.17,100.0,0,26-35
CUST03280,28,Female,74900.0,Sensitive,3.0,0.33,150.0,0,26-35
CUST00036,44,Female,68300.0,Normal,3.0,0.19,130.0,1,36-45
CUST08608,18,Female,66500.0,Sensitive,5.0,0.37,240.0,0,18-25
CUST01218,18,Male,36700.0,Combination,5.0,0.34,150.0,1,18-25
CUST06433,30,Male,82100.0,Oily,5.0,0.31,,0,26-35
CUST04437,27,Female,17000.0,Normal,3.0,0.22,100.0,1,26-35
CUST04933,51,Female,42900.0,Normal,1.0,0.1,100.0,0,46-55
CUST00322,30,Male,,Oily,3.0,0.25,100.0,1,26-35
CUST02363,28,Male,,Normal,4.0,0.28,150.0,1,26-35
CUST00252,36,Male,39100.0,Oily,3.0,0.32,140.0,1,36-45
CUST09472,21,Male,,Sensitive,8.0,0.75,150.0,1,18-25
CUST01027,18,Female,32400.0,Normal,2.0,0.09,110.0,0,18-25
CUST05706,34,Female,53300.0,Combination,4.0,0.27,150.0,1,26-35
CUST06551,32,Female,42300.0,Normal,1.0,0.14,100.0,0,26-35
CUST04077,18,Female,35000.0,Oily,1.0,0.14,100.0,0,18-25
CUST06960,30,Female,66000.0,Combination,5.0,0.38,140.0,1,26-35
CUST06890,43,Male,26100.0,Combination,4.0,0.38,170.0,1,36-45
CUST00108,28,Male,96100.0,Oily,3.0,0.2,190.0,1,26-35
CUST04672,27,Male,22600.0,Combination,9.0,0.72,340.0,1,26-35
CUST01209,57,Female,40800.0,Combination,5.0,0.37,150.0,1,56+
CUST09376,36,Female,22300.0,Oily,3.0,0.33,110.0,1,36-45
CUST04075,19,Female,44800.0,Oily,3.0,0.26,100.0,0,18-25
CUST03777,22,Male,25200.0,Normal,3.0,0.32,100.0,1,18-25
CUST04994,25,Male,44900.0,Dry,7.0,0.63,,1,18-25
CUST01200,20,Male,46600.0,Oily,6.0,0.52,190.0,1,18-25
CUST01670,24,Female,43600.0,Combination,3.0,0.26,100.0,1,18-25
CUST08124,23,Female,38600.0,,2.0,0.16,130.0,1,18-25
CUST07323,48,Male,52400.0,Normal,2.0,0.08,120.0,0,46-55
CUST08817,31,Female,40100.0,Oily,5.0,0.48,130.0,1,26-35
CUST00417,44,Male,29600.0,Combination,6.0,0.53,180.0,1,36-45
CUST05712,18,Female,30200.0,Combination,4.0,0.42,130.0,1,18-25
CUST08075,56,Female,62500.0,Normal,3.0,0.29,140.0,0,56+
CUST04327,43,Female,70500.0,Combination,5.0,0.5,220.0,1,36-45
CUST08472,26,Female,56400.0,Combination,5.0,0.38,150.0,1,26-35
CUST03144,35,Male,31200.0,Combination,2.0,0.13,100.0,1,26-35
CUST00260,18,Female,56300.0,Dry,7.0,0.66,240.0,0,18-25
CUST04827,27,Female,35400.0,Oily,5.0,0.4,220.0,1,26-35
CUST08475,34,Male,22600.0,Normal,3.0,0.2,110.0,0,26-35
CUST00040,39,Female,25600.0,Combination,5.0,0.33,140.0,1,36-45
CUST02927,41,Female,21100.0,Normal,1.0,0.17,100.0,0,36-45
CUST00669,26,Female,23500.0,Normal,2.0,0.15,,1,26-35
CUST01517,0,Male,52300.0,Sensitive,2.0,0.2,110.0,1,18-25
CUST06498,42,Female,45100.0,Combination,2.0,0.14,110.0,0,36-45
CUST04824,26,Male,43700.0,Dry,7.0,0.51,200.0,1,26-35
CUST09375,42,Female,37800.0,Combination,2.0,0.25,130.0,1,36-45
CUST05341,34,Female,24000.0,Dry,3.0,0.34,100.0,0,26-35
CUST06453,28,Male,19300.0,Dry,3.0,0.28,100.0,1,26-35
CUST03245,37,Male,53100.0,Oily,5.0,0.3,,1,36-45
CUST03858,32,female,46400.0,Combination,2.0,0.09,100.0,1,26-35
CUST09530,18,Male,37800.0,Sensitive,4.0,0.43,120.0,1,18-25
CUST06327,31,Male,73500.0,Combination,2.0,0.11,100.0,1,26-35
CUST06903,24,Male,68000.0,Combination,4.0,0.28,180.0,0,18-25
CUST03919,34,Male,55200.0,Dry,3.0,0.22,160.0,0,26-35
CUST08068,20,Female,58400.0,Combination,5.0,0.37,180.0,1,18-25
CUST06118,20,Female,59300.0,Dry,6.0,0.5,190.0,0,18-25
CUST07961,18,Female,82400.0,Combination,4.0,0.25,150.0,0,18-25
CUST01331,18,Female,50600.0,Dry,5.0,0.44,220.0,0,18-25
CUST08482,33,Male,37400.0,Combination,4.0,0.31,100.0,0,26-35
CUST05283,21,Female,68100.0,Sensitive,6.0,0.47,310.0,1,18-25
CUST00389,35,Male,33400.0,Combination,2.0,0.23,100.0,0,26-35
CUST06033,48,Male,47800.0,Normal,2.0,0.1,120.0,0,46-55
CUST09091,19,Male,15000.0,Sensitive,6.0,0.5,140.0,1,18-25
CUST07792,18,Male,25200.0,Normal,7.0,0.52,130.0,0,18-25
CUST03929,18,Male,59500.0,Combination,1.0,0.08,100.0,1,18-25
CUST02808,18,Female,38100.0,Oily,2.0,0.14,120.0,1,18-25
CUST02376,18,Male,36600.0,Normal,4.0,0.3,160.0,0,18-25
CUST05682,53,Female,35400.0,Normal,5.0,0.36,140.0,0,46-55
CUST06030,18,Female,25200.0,Combination,3.0,0.27,100.0,0,18-25
CUST06674,18,Male,49500.0,Oily,6.0,0.5,160.0,0,18-25
CUST03353,41,Female,91900.0,Combination,6.0,0.52,310.0,1,36-45
CUST04289,31,Female,51900.0,Combination,2.0,0.19,120.0,1,26-35
CUST08356,18,Female,38400.0,Sensitive,9.0,0.74,260.0,1,18-25
CUST03126,38,Female,22800.0,Normal,3.0,0.25,120.0,1,36-45
CUST04837,18,Female,50900.0,Dry,6.0,0.52,150.0,0,18-25
CUST02026,18,Male,30600.0,Oily,4.0,0.3,140.0,0,18-25
CUST04885,37,Female,36800.0,Oily,6.0,0.56,120.0,0,36-45
CUST05530,32,Female,17100.0,Combination,1.0,0.09,100.0,1,26-35
CUST02271,37,Female,44500.0,Oily,2.0,0.12,100.0,0,36-45
CUST00304,28,Male,32900.0,Normal,5.0,0.36,130.0,0,26-35
CUST04152,48,Male,,Dry,5.0,0.41,170.0,0,46-55
CUST07140,37,Female,24400.0,Combination,6.0,0.41,120.0,1,36-45
CUST09465,18,Female,42300.0,Oily,3.0,0.13,130.0,1,18-25
CUST03182,18,Female,46000.0,Dry,3.0,0.23,170.0,0,18-25
CUST05289,42,Female,69500.0,Combination,5.0,0.4,200.0,1,36-45
CUST04696,36,Female,30800.0,Oily,5.0,0.36,230.0,0,36-45
CUST02341,48,M,37700.0,,1.0,0.11,100.0,0,46-55
CUST02749,30,Male,26800.0,Combination,6.0,0.5,150.0,1,26-35
CUST08518,32,Male,38300.0,Sensitive,5.0,0.46,49753.9091852089,1,26-35
CUST05269,40,Female,28000.0,Normal,5.0,0.49,210.0,1,36-45
CUST03017,25,Male,15300.0,Combination,4.0,0.33,170.0,0,18-25
CUST02499,26,Female,41100.0,Normal,4.0,0.34,160.0,0,26-35
CUST02767,18,Female,39800.0,Oily,4.0,0.28,110.0,0,18-25
CUST08194,26,Male,65000.0,Combination,5.0,0.35,220.0,0,26-35
CUST08315,25,Female,30800.0,,1.0,0.01,100.0,1,18-25
CUST06782,32,Female,33400.0,Dry,4.0,0.38,140.0,0,26-35
CUST03689,61,Female,36600.0,Oily,2.0,0.24,110.0,0,56+
CUST02246,25,Female,24800.0,Normal,4.0,0.42,100.0,0,18-25
CUST09826,66,Male,73600.0,Combination,4.0,0.41,210.0,0,56+
CUST06838,26,Female,61500.0,Dry,1.0,0.13,100.0,1,26-35
CUST01738,30,Female,24700.0,Oily,2.0,0.24,100.0,1,26-35
CUST07960,30,Female,37500.0,Normal,4.0,0.3,130.0,1,26-35
CUST09023,55,Female,31300.0,Dry,6.0,0.43,180.0,0,46-55
CUST01146,40,Female,28200.0,Dry,3.0,0.22,130.0,1,36-45
CUST03411,18,Female,,,5.0,0.38,150.0,0,18-25
CUST02907,45,Male,27000.0,Combination,3.0,0.23,110.0,0,36-45
CUST03155,25,Female,26400.0,Oily,7.0,0.57,230.0,1,18-25
CUST08250,34,Male,22400.0,Sensitive,4.0,0.36,160.0,1,26-35
CUST06608,31,Female,45000.0,Sensitive,2.0,0.16,100.0,0,26-35
CUST08721,18,Male,139200.0,Combination,5.0,0.38,240.0,0,18-25
CUST04682,33,Female,25300.0,Sensitive,6.0,0.54,180.0,1,26-35
CUST08147,32,Female,47900.0,Dry,1.0,0.19,100.0,1,26-35
CUST07441,23,Male,32000.0,Dry,4.0,0.37,100.0,1,18-25
CUST09739,27,Male,38400.0,Sensitive,3.0,0.23,100.0,0,26-35
CUST04772,18,Female,33600.0,Dry,4.0,0.4,,0,18-25
CUST00959,32,Male,34800.0,Oily,0.0,0.06,100.0,1,26-35
CUST02628,48,Male,30600.0,Combination,5.0,0.43,150.0,0,46-55
CUST04023,18,Female,55500.0,Combination,4.0,0.19,170.0,1,18-25
CUST08848,18,Female,18700.0,Normal,3.0,0.36,100.0,1,18-25
CUST01091,25,Female,111300.0,Normal,3.0,0.37,,0,18-25
CUST04935,28,Female,52400.0,Oily,3.0,0.22,160.0,1,26-35
CUST00451,31,Male,45100.0,Normal,0.0,0.0,100.0,1,26-35
CUST00312,37,Male,44300.0,Dry,2.0,0.24,120.0,1,36-45
CUST04240,39,Female,16800.0,Combination,7.0,0.62,260.0,0,36-45
CUST08116,27,Female,85900.0,Combination,6.0,0.52,220.0,1,26-35
CUST04181,45,Female,17100.0,Oily,2.0,0.14,100.0,1,36-45
CUST00097,18,Female,51000.0,Dry,4.0,0.35,130.0,0,18-25
CUST03020,18,Female,39900.0,Sensitive,1.0,0.11,100.0,1,18-25
CUST09806,18,Female,30700.0,Sensitive,3.0,0.24,150.0,0,18-25
CUST00766,18,Male,15000.0,Normal,4.0,0.37,100.0,0,18-25
CUST00120,29,Male,31100.0,Normal,3.0,0.26,120.0,1,26-35
CUST00511,18,Male,34000.0,Combination,2.0,0.18,110.0,0,18-25
CUST09831,28,Female,26700.0,Combination,1.0,0.03,100.0,0,26-35
CUST01938,19,Male,32100.0,Dry,3.0,0.31,100.0,1,18-25
CUST00034,23,Female,34600.0,Dry,3.0,0.24,150.0,0,18-25
CUST07991,34,Female,43100.0,Dry,7.0,0.61,170.0,1,26-35
CUST08144,43,Female,,Combination,4.0,0.29,170.0,1,36-45
CUST03845,33,Female,16000.0,Normal,5.0,0.5,150.0,1,26-35
CUST07282,27,Female,59300.0,Combination,3.0,0.27,160.0,0,26-35
CUST07029,29,Female,38900.0,Dry,3.0,0.19,120.0,0,26-35
CUST09546,43,Female,36700.0,Oily,5.0,0.47,150.0,1,36-45
CUST05805,29,Female,32800.0,Oily,6.0,0.47,,0,26-35
CUST09225,29,Male,25700.0,Combination,0.0,0.0,100.0,1,26-35
CUST06687,41,Female,,Combination,5.0,0.39,240.0,1,36-45
CUST00966,18,Female,,Combination,4.0,0.29,,1,18-25
CUST09940,18,Female,36100.0,Dry,5.0,0.44,110.0,0,18-25
CUST02115,37,Male,50300.0,Sensitive,5.0,0.4,190.0,1,36-45
CUST02928,35,Female,41500.0,Oily,6.0,0.51,260.0,1,26-35
CUST01513,42,Female,41800.0,Normal,4.0,0.37,150.0,0,36-45
CUST01609,30,Male,,Oily,5.0,0.41,230.0,1,26-35
CUST00032,28,Female,108400.0,Normal,6.0,0.41,310.0,1,26-35
CUST05724,67,Male,52300.0,Normal,5.0,0.48,160.0,0,56+
CUST01618,18,Female,,Combination,4.0,0.37,,1,18-25
CUST00030,37,Female,55200.0,Dry,6.0,0.49,200.0,1,36-45
CUST08600,29,Female,26700.0,Dry,5.0,0.41,120.0,1,26-35
CUST09588,31,Female,17100.0,Oily,3.0,0.15,100.0,0,26-35
CUST06804,39,Female,17400.0,Dry,10.0,0.77,230.0,1,36-45
CUST08789,18,Male,15000.0,Dry,5.0,0.42,210.0,1,18-25
CUST06988,40,Female,43900.0,Combination,4.0,0.32,180.0,1,36-45
CUST00107,22,Male,36200.0,Combination,7.0,0.57,290.0,1,18-25
CUST01384,30,Female,26200.0,Oily,2.0,0.16,100.0,1,26-35
CUST08604,31,Female,105700.0,Combination,2.0,0.18,160.0,1,26-35
CUST03498,44,Female,51300.0,Normal,7.0,0.62,170.0,0,36-45
CUST04979,44,Male,,Normal,3.0,0.22,140.0,1,36-45
CUST05876,44,Male,38900.0,Normal,5.0,0.46,150.0,0,36-45
CUST06735,39,Female,34000.0,Normal,2.0,0.17,100.0,1,36-45
CUST00622,32,Female,28600.0,Combination,3.0,0.25,130.0,1,26-35
CUST05815,40,Male,77700.0,Dry,5.0,0.42,280.0,0,36-45
CUST02587,33,Female,19500.0,Oily,4.0,0.36,150.0,1,26-35
CUST04798,41,Female,47200.0,Oily,4.0,0.36,130.0,1,36-45
CUST05422,19,Male,130900.0,Oily,7.0,0.66,350.0,1,18-25
CUST06776,44,Female,91100.0,Sensitive,7.0,0.53,230.0,1,36-45
CUST05595,37,Male,58000.0,Oily,4.0,0.26,190.0,1,36-45
CUST01340,0,Male,33600.0,Oily,3.0,0.28,100.0,1,26-35
CUST03596,59,Female,23400.0,Oily,5.0,0.43,190.0,0,56+
CUST00294,18,Male,39400.0,Oily,2.0,0.18,120.0,0,18-25
CUST02329,34,Male,24500.0,Dry,8.0,0.68,260.0,1,26-35
CUST09868,46,Male,51900.0,Dry,2.0,0.12,100.0,0,46-55
CUST07462,30,Male,45900.0,Oily,5.0,0.38,200.0,1,26-35
CUST09535,30,Male,30700.0,Oily,6.0,0.46,200.0,0,26-35
CUST06947,54,Male,25600.0,Normal,1.0,0.15,100.0,0,46-55
CUST01514,18,Female,49900.0,Normal,4.0,0.32,110.0,0,18-25
CUST00374,41,Male,95700.0,Normal,6.0,0.44,250.0,0,36-45
CUST04681,50,Female,44200.0,Normal,5.0,0.41,220.0,1,46-55
CUST09873,39,Female,30200.0,Dry,5.0,0.49,25584.246017468875,0,36-45
CUST01795,18,Female,70900.0,Combination,3.0,0.14,190.0,0,18-25
CUST05073,53,Female,129700.0,Oily,7.0,0.62,340.0,1,46-55
CUST01255,24,Female,55100.0,Oily,1.0,0.06,100.0,1,18-25
CUST02849,41,Female,15000.0,Sensitive,5.0,0.49,,1,36-45
CUST06026,37,Male,27600.0,Combination,2.0,0.15,100.0,0,36-45
CUST03371,29,Female,49400.0,Sensitive,3.0,0.22,130.0,0,26-35
CUST05697,35,Male,70900.0,Dry,5.0,0.51,140.0,0,26-35
CUST02305,36,Male,28100.0,Dry,5.0,0.47,170.0,0,36-45
CUST04061,35,Female,39500.0,Normal,4.0,0.35,140.0,1,26-35
CUST04603,31,Male,33000.0,Oily,8.0,0.62,280.0,0,26-35
CUST08573,18,Male,23600.0,Combination,5.0,0.5,100.0,1,18-25
CUST03530,31,Female,35600.0,Normal,5.0,0.39,240.0,1,26-35
CUST07825,20,Male,30300.0,Dry,9.0,0.68,200.0,0,18-25
CUST08391,28,Female,32900.0,Oily,4.0,0.26,170.0,1,26-35
CUST01627,18,Male,47800.0,Oily,3.0,0.25,130.0,1,18-25
CUST03061,45,Female,40200.0,Dry,4.0,0.31,190.0,0,36-45
CUST02466,23,Female,30500.0,Normal,7.0,0.6,150.0,1,18-25
CUST09051,18,Female,42000.0,Combination,2.0,0.08,110.0,0,18-25
CUST03132,25,Female,27100.0,Oily,3.0,0.27,,1,18-25
CUST01483,33,Female,23000.0,Normal,,0.0,100.0,1,26-35
CUST05141,30,Male,46100.0,Combination,2.0,0.15,100.0,0,26-35
CUST08805,44,Male,,,2.0,0.11,110.0,1,36-45
CUST08557,28,Female,36200.0,Oily,5.0,0.44,200.0,1,26-35
CUST02649,35,Female,65900.0,Oily,4.0,0.33,,1,26-35
CUST03527,36,Female,61400.0,Oily,9.0,0.71,250.0,1,36-45
CUST08508,18,Female,,Normal,7.0,0.52,,0,18-25
CUST00971,29,Female,84400.0,Normal,4.0,0.4,170.0,1,26-35
CUST02046,21,Male,53400.0,Oily,2.0,0.23,110.0,0,18-25
CUST08994,48,Female,66400.0,Oily,5.0,0.39,270.0,1,46-55
CUST00796,31,Male,52200.0,Combination,4.0,0.39,110.0,0,26-35
CUST01693,18,Female,65700.0,Dry,1.0,0.1,100.0,1,18-25
CUST01348,24,Male,27600.0,Normal,7.0,0.57,240.0,1,18-25
CUST01447,58,Female,49200.0,Combination,4.0,0.36,120.0,0,56+
CUST03033,18,Male,31200.0,Oily,4.0,0.25,190.0,1,18-25
CUST03654,40,Male,72400.0,Dry,4.0,0.34,150.0,1,36-45
CUST06477,31,Female,171400.0,Combination,6.0,0.48,,0,26-35
CUST00501,47,Female,35400.0,Sensitive,3.0,0.26,100.0,1,46-55
CUST05122,18,Female,76800.0,,0.0,0.0,100.0,1,18-25
CUST03913,27,Female,86200.0,Dry,2.0,0.19,130.0,1,26-35
CUST06456,25,Male,39900.0,Oily,4.0,0.39,170.0,0,18-25
CUST07713,48,Female,53000.0,,4.0,0.3,,0,46-55
CUST03961,46,Male,67000.0,Oily,4.0,0.32,150.0,0,46-55
CUST07874,26,Female,33400.0,Sensitive,4.0,0.37,170.0,0,26-35
CUST03756,27,Female,51400.0,Dry,3.0,0.19,150.0,1,26-35
CUST02983,30,Male,52400.0,Oily,2.0,0.1,100.0,0,26-35
CUST09580,47,Female,75100.0,Oily,3.0,0.27,120.0,1,46-55
CUST00305,31,Female,25500.0,Dry,6.0,0.43,140.0,1,26-35
CUST07355,34,Female,24200.0,Dry,1.0,0.1,100.0,0,26-35
CUST02974,26,Male,71400.0,Oily,1.0,0.12,100.0,0,26-35
CUST06329,43,Female,,Normal,1.0,0.06,100.0,0,36-45
CUST01651,26,Female,24900.0,Sensitive,7.0,0.55,220.0,1,26-35
CUST04395,19,Male,49100.0,Dry,3.0,0.2,130.0,0,18-25
CUST06806,27,Male,107300.0,Normal,4.0,0.43,160.0,0,26-35
CUST00674,18,Female,34700.0,Combination,2.0,0.13,120.0,0,18-25
CUST00093,27,Female,48500.0,Normal,2.0,0.15,130.0,1,26-35
CUST06933,33,Female,,Combination,4.0,0.29,170.0,1,26-35
CUST08936,44,Female,54800.0,Sensitive,4.0,0.35,210.0,1,36-45
CUST01607,38,Male,36400.0,Dry,5.0,0.46,220.0,1,36-45
CUST07021,33,Male,103200.0,Oily,8.0,0.69,430.0,1,26-35
CUST07678,25,Male,,Dry,6.0,0.48,140.0,0,18-25
CUST04793,40,Female,22300.0,Dry,2.0,0.17,,0,36-45
CUST06136,32,Female,40700.0,Combination,3.0,0.32,100.0,0,26-35
CUST03796,30,Male,134000.0,Dry,7.0,0.57,260.0,1,26-35
CUST07534,49,Male,60100.0,Normal,2.0,0.2,140.0,0,46-55
CUST01176,18,Female,39400.0,Combination,4.0,0.28,190.0,1,18-25
CUST09853,26,Male,36500.0,Oily,1.0,0.12,100.0,1,26-35
CUST04412,31,Male,39800.0,Oily,6.0,0.43,230.0,1,26-35
CUST00347,25,Male,27600.0,Oily,3.0,0.28,110.0,1,18-25
CUST03707,30,Male,40600.0,Dry,4.0,0.33,180.0,0,26-35
CUST02692,21,Female,44000.0,Normal,4.0,0.39,,1,18-25
CUST05518,48,Male,84800.0,Combination,3.0,0.29,190.0,1,46-55
CUST00656,36,Female,24700.0,Combination,5.0,0.4,220.0,1,36-45
CUST07797,26,Female,46100.0,Dry,8.0,0.72,340.0,0,26-35
CUST02699,36,Female,35500.0,Dry,4.0,0.3,170.0,1,36-45
CUST01570,18,Male,68300.0,Dry,6.0,0.52,140.0,0,18-25
CUST03575,25,Male,74800.0,Combination,4.0,0.38,180.0,0,18-25
CUST04569,39,Female,49500.0,Combination,5.0,0.44,130.0,0,36-45
CUST03209,43,Female,39100.0,Combination,3.0,0.24,110.0,0,36-45
CUST06204,30,Male,47000.0,Oily,6.0,0.52,200.0,1,26-35
CUST00569,38,Male,29300.0,Dry,3.0,0.25,100.0,1,36-45
CUST08317,37,Male,23400.0,Dry,2.0,0.09,100.0,1,36-45
CUST03541,34,Male,51500.0,Dry,2.0,0.19,130.0,1,26-35
CUST01370,43,Male,34000.0,Dry,5.0,0.47,220.0,0,36-45
CUST05559,26,Male,23400.0,Normal,4.0,0.29,100.0,0,26-35
CUST05642,18,Male,20000.0,Normal,1.0,0.13,100.0,0,18-25
CUST00089,37,Female,52600.0,Normal,3.0,0.19,100.0,0,36-45
CUST08618,18,Female,39100.0,Normal,6.0,0.42,150.0,0,18-25
CUST01966,37,Male,34800.0,Combination,6.0,0.43,250.0,0,36-45
CUST03838,30,Male,28400.0,Normal,3.0,0.25,100.0,0,26-35
CUST07343,30,Male,46800.0,Dry,2.0,0.19,100.0,0,26-35
CUST02620,50,Female,41500.0,Normal,3.0,0.13,160.0,0,46-55
CUST02253,39,Female,30700.0,Oily,2.0,0.15,100.0,1,36-45
CUST07411,41,Female,21200.0,Normal,3.0,0.24,140.0,1,36-45
CUST08695,41,Male,41300.0,Dry,3.0,0.26,150.0,1,36-45
CUST07552,40,Female,54600.0,Oily,2.0,0.1,120.0,0,36-45
CUST09196,29,Male,37000.0,Sensitive,2.0,0.17,120.0,1,26-35
CUST03985,23,Male,54300.0,Combination,4.0,0.3,210.0,0,18-25
CUST08884,49,,50500.0,Normal,11.0,0.96,360.0,0,46-55
CUST01361,28,Female,51600.0,Normal,3.0,0.29,140.0,1,26-35
CUST09037,18,Female,18600.0,Oily,4.0,0.38,160.0,0,18-25
CUST06462,43,Female,54600.0,Oily,2.0,0.07,100.0,0,36-45
CUST01703,34,Male,37200.0,Sensitive,1.0,0.07,100.0,1,26-35
CUST06256,42,Female,59200.0,Dry,2.0,0.18,110.0,1,36-45
CUST06356,30,Female,33900.0,Sensitive,9.0,0.83,190.0,1,26-35
CUST06272,18,Male,32800.0,Sensitive,2.0,0.16,100.0,0,18-25
CUST08612,26,Female,78800.0,Normal,4.0,0.35,170.0,0,26-35
CUST03773,37,Male,24600.0,Oily,6.0,0.45,120.0,1,36-45
CUST08401,27,Male,37700.0,Combination,7.0,0.5,140.0,1,26-35
CUST07077,38,Male,46900.0,Dry,,0.16,120.0,1,36-45
CUST05387,18,Male,43000.0,Normal,4.0,0.32,110.0,0,18-25
CUST00109,41,Female,64200.0,Sensitive,5.0,0.42,140.0,0,36-45
CUST00851,28,Female,31800.0,Sensitive,5.0,0.46,220.0,1,26-35
CUST09305,25,Female,47400.0,Combination,2.0,0.17,140.0,0,18-25
CUST08279,40,Male,43300.0,Normal,3.0,0.24,,0,36-45
CUST02076,18,Female,22900.0,Oily,1.0,0.07,100.0,0,18-25
CUST02148,42,Female,65200.0,Combination,5.0,0.42,190.0,0,36-45
CUST05866,18,Male,27000.0,Combination,3.0,0.25,,0,18-25
CUST08092,70,Male,30000.0,Oily,3.0,0.17,130.0,0,56+
CUST04985,18,Female,30800.0,Combination,1.0,0.13,100.0,0,18-25
CUST04690,25,Female,99900.0,Normal,5.0,0.5,320.0,1,18-25
CUST04149,31,Male,19900.0,Normal,3.0,0.26,110.0,0,26-35
CUST05488,24,Female,28800.0,Combination,2.0,0.18,100.0,1,18-25
CUST06631,36,Male,41600.0,Normal,5.0,0.43,240.0,0,36-45
CUST04610,27,Male,43400.0,Combination,1.0,0.07,100.0,0,26-35
CUST00719,28,Female,51300.0,,2.0,0.24,120.0,0,26-35
CUST04133,36,Male,47500.0,Normal,3.0,0.19,110.0,0,36-45
CUST09641,32,Female,31300.0,Normal,2.0,0.18,100.0,1,26-35
CUST04658,33,Female,99100.0,Dry,1.0,0.08,130.0,0,26-35
CUST06734,18,Female,48500.0,Normal,5.0,0.43,160.0,1,18-25
CUST08757,33,Female,48900.0,Combination,2.0,0.3,100.0,1,26-35
