Id,sex,age_group,status,tenure,total,region,income,purchased,quantity
5769,Male,26-35,Inactive,87.0,1470.0,West,22300.0,0,6
6974,Female,18-25,Active,19.0,690.0,North,,0,3
1191,Male,26-35,Inactive,90.0,1980.0,North,37000.0,0,7
5212,Male,26-35,Inactive,9.0,160.0,East,28200.0,0,0
9629,Female,26-35,Active,65.0,1710.0,South,63200.0,1,4
5937,Male,46-55,Active,53.0,1400.0,North,27700.0,0,4
7612,Female,36-45,New,26.0,610.0,West,41600.0,0,2
9623,Female,46-55,Active,76.0,2700.0,West,36600.0,1,3
3280,Male,36-45,New,90.0,1680.0,North,39500.0,0,4
36,Male,56+,Active,6.0,60.0,North,22100.0,0,2
8608,Female,36-45,Active,46.0,1030.0,West,45100.0,1,5
1218,Female,26-35,Active,34.0,1950.0,South,59700.0,1,2
6433,Male,46-55,Active,71.0,2020.0,,64600.0,1,3
4437,Female,18-25,Active,114.0,1910.0,North,44300.0,1,13
4933,Female,46-55,New,80.0,2330.0,North,29300.0,1,7
322,Female,36-45,Inactive,43.0,1860.0,West,68100.0,1,3
2363,Female,18-25,New,99.0,1120.0,East,24800.0,1,3
252,Female,56+,Inactive,23.0,170.0,South,15000.0,0,0
9472,Male,46-55,New,59.0,1900.0,East,45400.0,0,7
1027,Female,18-25,Active,49.0,2090.0,South,44200.0,1,5
5706,Male,18-25,Inactive,74.0,3050.0,West,52400.0,1,9
6551,Female,26-35,Active,42.0,1470.0,South,46400.0,1,5
4077,Female,26-35,Active,57.0,2360.0,East,51900.0,1,5
6960,Female,18-25,Inactive,87.0,1280.0,North,32100.0,1,5
6890,Female,46-55,Active,95.0,7860.0,East,105500.0,0,7
108,Male,56+,Active,93.0,2120.0,East,49600.0,0,10
4672,Male,18-25,Inactive,98.0,2280.0,West,27100.0,0,4
1209,Male,46-55,Active,50.0,1130.0,South,56800.0,0,4
9376,Male,26-35,Active,30.0,2080.0,North,128700.0,1,3
4075,Male,26-35,New,61.0,2690.0,East,70200.0,1,5
3777,Female,26-35,New,28.0,700.0,,52000.0,0,3
4994,Male,26-35,New,92.0,2070.0,West,40900.0,0,5
1200,Female,18-25,Active,112.0,2800.0,East,47500.0,1,3
1670,Female,36-45,Active,94.0,2160.0,South,23500.0,1,4
8124,Male,18-25,Active,17.0,440.0,North,39800.0,1,1
7323,Male,56+,Active,106.0,3310.0,West,34300.0,0,9
8817,Female,36-45,Active,100.0,3320.0,South,35700.0,0,3
417,Male,26-35,Inactive,83.0,1480.0,North,19500.0,1,6
5712,Female,26-35,New,108.0,1500.0,North,35400.0,1,10
8075,Female,26-35,Active,42.0,1840.0,North,58900.0,0,4
4327,Male,26-35,New,65.0,2760.0,West,46100.0,1,3
8472,Female,46-55,Active,48.0,420.0,South,22500.0,1,4
3144,Male,36-45,Active,15.0,390.0,East,58900.0,1,1
260,Female,46-55,Inactive,86.0,5160.0,North,70900.0,0,5
4827,Male,46-55,New,59.0,2560.0,West,56000.0,0,3
8475,Male,36-45,Active,84.0,3340.0,,46400.0,1,5
40,Female,36-45,Active,62.0,690.0,South,24700.0,1,4
2927,Female,36-45,New,23.0,230.0,South,18400.0,0,3
669,Male,18-25,Active,19.0,750.0,East,54400.0,0,2
1517,Male,56+,Active,100.0,1680.0,South,31300.0,0,8
6498,Female,46-55,Inactive,14.0,120.0,North,17100.0,0,1
4824,Female,46-55,New,8.0,290.0,North,68700.0,1,1
9375,Female,26-35,Active,85.0,1610.0,South,27400.0,0,10
5341,Male,18-25,Active,65.0,580.0,West,22000.0,0,1
6453,Female,18-25,New,42.0,4360.0,,106700.0,1,2
3245,Male,26-35,Active,40.0,1930.0,North,80600.0,1,5
3858,Male,26-35,Active,31.0,1240.0,North,93600.0,1,4
9530,Male,36-45,Active,39.0,1200.0,East,51200.0,0,2
6327,Female,36-45,New,8.0,190.0,South,43800.0,1,1
6903,Female,36-45,New,7.0,160.0,West,60300.0,1,1
3919,Female,26-35,Active,56.0,2100.0,South,45400.0,1,3
8068,Male,26-35,Inactive,6.0,120.0,West,36000.0,0,2
6118,Male,56+,Active,0.0,0.0,West,71900.0,0,3
7961,Male,26-35,New,108.0,,West,34100.0,1,12
1331,Female,36-45,Active,20.0,280.0,East,16000.0,0,2
8482,Male,26-35,Active,112.0,1430.0,South,29100.0,0,5
5283,Female,56+,New,69.0,2110.0,North,47500.0,0,4
389,Male,18-25,Active,0.0,0.0,North,27200.0,0,1
6033,Male,18-25,Active,90.0,3000.0,West,44300.0,1,5
9091,Female,46-55,Inactive,58.0,3240.0,South,90500.0,1,5
7792,Female,18-25,Active,85.0,1250.0,West,22100.0,1,9
3929,Male,36-45,Inactive,103.0,5870.0,North,100200.0,1,5
2808,Female,56+,Inactive,20.0,460.0,North,,0,0
2376,Male,18-25,Active,,1060.0,South,24400.0,1,7
5682,Male,26-35,New,87.0,1730.0,South,27900.0,1,6
6030,Male,26-35,New,11.0,520.0,North,59600.0,1,2
6674,Male,26-35,Active,115.0,7560.0,West,111900.0,1,9
3353,Male,36-45,New,104.0,2260.0,West,30000.0,0,12
4289,Female,26-35,Inactive,29.0,960.0,,71300.0,0,4
8356,Female,18-25,Active,27.0,640.0,South,33500.0,1,5
3126,Male,18-25,New,70.0,1470.0,,39600.0,0,3
4837,Male,36-45,New,44.0,3090.0,North,70700.0,1,5
2026,Male,36-45,New,8.0,100.0,West,19500.0,0,0
4885,Female,46-55,Inactive,91.0,2380.0,East,43300.0,1,5
5530,Female,26-35,New,40.0,1670.0,North,50300.0,1,6
2271,Female,46-55,New,83.0,2220.0,North,48400.0,0,6
304,Female,36-45,Inactive,25.0,1000.0,South,47400.0,1,3
4152,Female,26-35,New,31.0,660.0,East,29700.0,1,1
7140,Male,18-25,Active,89.0,2040.0,South,31200.0,0,7
9465,Female,18-25,Active,98.0,5590.0,West,75600.0,1,6
3182,Male,56+,New,101.0,1860.0,West,30200.0,0,3
5289,Male,46-55,New,8.0,460.0,North,70600.0,0,1
4696,Female,36-45,New,69.0,2530.0,North,43000.0,0,4
2341,Male,26-35,New,18.0,360.0,East,45600.0,0,3
2749,Female,26-35,Active,119.0,2570.0,West,54900.0,1,8
8518,Male,56+,Inactive,101.0,1930.0,North,29500.0,0,6
5269,Female,18-25,Active,89.0,2680.0,West,71200.0,1,4
3017,Female,36-45,New,2.0,100.0,North,91400.0,0,3
2499,Female,26-35,Active,2.0,60.0,North,51700.0,1,2
2767,Male,18-25,Inactive,4.0,110.0,West,30200.0,0,0
8194,Female,26-35,Active,30.0,480.0,South,39900.0,0,3
8315,Male,18-25,Inactive,60.0,1760.0,West,46000.0,0,5
6782,Male,46-55,Active,36.0,930.0,North,39900.0,1,5
3689,Female,26-35,Inactive,90.0,1100.0,North,20200.0,0,8
2246,Male,36-45,Active,0.0,0.0,East,41800.0,1,0
9826,Male,36-45,New,53.0,1650.0,South,35700.0,0,1
6838,Female,26-35,Inactive,34.0,1080.0,West,71300.0,0,3
1738,Male,46-55,New,25.0,340.0,North,20500.0,0,3
7960,Female,36-45,New,93.0,1330.0,East,33100.0,0,12
9023,Female,36-45,Active,102.0,1030.0,South,22300.0,1,6
1146,Male,36-45,New,15.0,500.0,South,41300.0,1,2
3411,Female,46-55,Inactive,106.0,7390.0,East,77600.0,0,11
2907,Female,46-55,Active,46.0,770.0,South,36700.0,1,5
3155,Male,46-55,Active,73.0,840.0,West,,1,3
8250,Male,26-35,New,82.0,890.0,South,17400.0,1,9
6608,Male,26-35,Active,120.0,5100.0,West,44100.0,1,13
8721,Female,56+,Active,7.0,200.0,East,37400.0,0,2
4682,Male,46-55,Inactive,61.0,1880.0,North,53200.0,0,2
8147,Male,46-55,Active,95.0,2940.0,North,34700.0,1,10
7441,Female,18-25,Active,114.0,,South,15000.0,1,3
9739,Female,26-35,Active,18.0,480.0,West,29900.0,1,3
4772,Male,36-45,New,32.0,1650.0,North,61800.0,0,3
959,Female,26-35,Active,21.0,700.0,North,45500.0,1,1
2628,Male,26-35,Active,69.0,1840.0,West,38200.0,1,11
4023,Male,36-45,Active,41.0,2050.0,West,58000.0,1,3
8848,Female,46-55,Inactive,98.0,3430.0,East,46300.0,0,3
1091,Male,36-45,Inactive,111.0,6280.0,South,57500.0,1,6
4935,Female,46-55,Inactive,105.0,3790.0,South,64800.0,1,9
451,Male,26-35,Inactive,85.0,1900.0,East,32200.0,1,472
312,Male,26-35,Active,70.0,900.0,South,15000.0,1,4
4240,Female,18-25,Active,91.0,1780.0,West,27900.0,1,12
8116,Female,18-25,New,62.0,1180.0,,22100.0,0,4
4181,Female,26-35,Inactive,40.0,1650.0,North,67800.0,0,6
97,Male,18-25,Inactive,61.0,2570.0,South,73500.0,1,7
3020,Male,18-25,Active,58.0,,East,50100.0,0,6
9806,Female,36-45,Active,11.0,100.0,East,20000.0,0,2
766,Male,26-35,Inactive,107.0,1980.0,North,26400.0,1,10
120,Female,26-35,New,37.0,1810.0,North,82400.0,1,4
511,Male,36-45,New,55.0,1700.0,East,54700.0,0,1
9831,Female,36-45,New,26.0,340.0,South,25700.0,1,5
1938,Female,56+,New,47.0,1070.0,West,30100.0,0,4
34,Male,18-25,Active,29.0,1740.0,East,72800.0,1,2
7991,Female,18-25,Active,9.0,170.0,North,22300.0,0,2
8144,Male,18-25,New,61.0,,North,60300.0,1,2
3845,Female,36-45,New,20.0,980.0,West,53800.0,1,2
7282,Male,56+,Active,48.0,1120.0,East,36600.0,0,3
7029,Female,36-45,Active,57.0,1080.0,South,22500.0,1,7
9546,Male,46-55,Active,53.0,810.0,East,26400.0,0,6
5805,Female,36-45,Active,17.0,240.0,East,19300.0,1,5
9225,Male,26-35,Active,82.0,1930.0,North,48100.0,1,6
6687,Female,56+,Active,65.0,1530.0,South,25000.0,1,4
966,Female,18-25,Active,32.0,860.0,South,42200.0,1,2
9940,Female,26-35,New,23.0,350.0,West,19800.0,1,1
2115,Male,36-45,Active,39.0,1160.0,West,47300.0,1,2
2928,Female,18-25,Active,25.0,260.0,South,27200.0,0,2
1513,Female,36-45,Inactive,1.0,30.0,South,33800.0,1,0
1609,Male,18-25,Active,110.0,6540.0,West,75100.0,1,10
32,Female,36-45,Active,73.0,2680.0,West,43500.0,1,6
5724,Female,36-45,Active,54.0,1400.0,South,31000.0,1,13
1618,Female,18-25,Active,115.0,4360.0,North,43200.0,1,6
30,Female,36-45,Active,70.0,2300.0,North,43300.0,1,6
8600,Male,26-35,Active,0.0,0.0,East,39900.0,1,2
9588,Female,26-35,Active,88.0,930.0,South,27200.0,1,1
6804,Male,36-45,Active,77.0,1800.0,South,33400.0,0,5
8789,Male,56+,Active,0.0,0.0,North,41700.0,1,1
6988,Male,26-35,Active,82.0,5470.0,South,70300.0,1,7
107,Male,26-35,Active,80.0,2480.0,East,33100.0,1,10
1384,Female,36-45,New,99.0,2240.0,South,27500.0,0,9
8604,Female,36-45,New,119.0,4360.0,East,38000.0,1,12
3498,Female,26-35,Active,75.0,2330.0,East,63600.0,0,6
4979,Female,46-55,Active,15.0,750.0,East,58000.0,0,3
5876,Female,36-45,Active,55.0,1780.0,East,42600.0,1,9
6735,Male,26-35,Active,60.0,2100.0,North,67200.0,0,4
622,Female,26-35,Active,37.0,1230.0,West,46300.0,1,3
5815,Female,18-25,Active,19.0,280.0,South,21100.0,0,3
2587,Male,18-25,Inactive,90.0,3390.0,South,42500.0,1,6
4798,Female,18-25,Active,108.0,1810.0,North,33100.0,0,6
5422,Female,18-25,Active,17.0,460.0,East,28400.0,0,3
6776,Male,46-55,New,116.0,6600.0,West,76200.0,1,11
5595,Female,36-45,New,12.0,460.0,North,64500.0,1,3
1340,Male,18-25,Active,70.0,1160.0,East,18900.0,0,6
3596,Female,26-35,New,20.0,750.0,North,42000.0,1,3
294,Male,26-35,New,,1940.0,South,26200.0,1,7
2329,Female,26-35,Active,43.0,1420.0,South,77600.0,1,0
9868,Female,18-25,New,81.0,2680.0,North,69400.0,0,6
7462,Female,26-35,New,20.0,610.0,West,45600.0,0,3
9535,Female,56+,Inactive,12.0,170.0,East,23900.0,0,0
6947,Female,46-55,Active,67.0,2340.0,North,52400.0,1,10
1514,Female,18-25,Active,17.0,220.0,South,29800.0,1,1
374,Male,26-35,Active,2.0,100.0,South,62400.0,1,1
4681,Female,46-55,Active,118.0,5110.0,West,74300.0,1,11
9873,Female,46-55,Active,106.0,1530.0,East,19300.0,0,9
1795,Female,36-45,Active,14.0,380.0,West,35300.0,0,2
5073,Female,18-25,New,81.0,4340.0,West,56100.0,1,8
1255,Male,26-35,Active,84.0,1870.0,West,42800.0,0,5
2849,Female,18-25,Inactive,19.0,360.0,West,21000.0,0,1
6026,Female,56+,Active,35.0,1590.0,North,45500.0,0,5
3371,Female,18-25,New,29.0,1780.0,North,,0,0
5697,Male,56+,Inactive,98.0,5780.0,South,116400.0,1,9
2305,Male,36-45,Active,101.0,1790.0,South,43900.0,1,9
4061,Female,18-25,New,39.0,2870.0,West,83800.0,0,2
4603,Female,36-45,Active,10.0,190.0,West,20100.0,1,2
8573,Female,26-35,Active,65.0,3840.0,West,64000.0,1,9
3530,Female,36-45,Active,109.0,,North,16500.0,1,10
7825,Female,36-45,Inactive,109.0,2060.0,North,31200.0,0,9
8391,Female,18-25,Inactive,12.0,260.0,South,30500.0,0,1
1627,Male,18-25,Active,7.0,240.0,North,71200.0,0,0
3061,Female,26-35,Active,1.0,10.0,West,29900.0,1,1
2466,Female,46-55,Active,66.0,4240.0,,69700.0,0,10
9051,Male,26-35,New,56.0,3570.0,South,78900.0,1,5
3132,Female,46-55,Active,118.0,1680.0,North,24400.0,1,11
1483,Female,18-25,Active,23.0,,East,48100.0,1,3
5141,Female,36-45,Active,90.0,3710.0,West,,1,4
8805,Female,26-35,New,102.0,4770.0,South,80900.0,0,7
8557,Female,36-45,Active,500.0,20.0,East,39800.0,1,2
2649,Female,18-25,New,1.0,30.0,South,33200.0,0,3
3527,Male,36-45,Inactive,2.0,30.0,North,33800.0,0,1
8508,Male,26-35,Active,31.0,1400.0,West,46200.0,1,2
971,Male,36-45,Inactive,91.0,4300.0,West,52400.0,1,8
2046,Male,36-45,New,92.0,4930.0,South,59000.0,0,5
8994,Male,46-55,Active,12.0,330.0,North,35000.0,0,1
796,Male,36-45,Active,5.0,250.0,North,,1,0
1693,Male,18-25,Inactive,119.0,1830.0,South,31400.0,1,13
1348,Male,18-25,Inactive,4.0,,West,,0,4
1447,Female,46-55,New,99.0,2000.0,North,,1,12
3033,Male,18-25,New,83.0,3510.0,East,74200.0,0,6
3654,Male,26-35,Active,9.0,570.0,West,71400.0,1,4
6477,Female,46-55,Active,58.0,1220.0,North,45000.0,1,3
501,Female,26-35,Inactive,83.0,1120.0,West,25300.0,1,6
5122,Male,36-45,Inactive,24.0,760.0,,31800.0,1,2
3913,Female,46-55,Active,29.0,1840.0,West,64100.0,0,3
6456,Female,36-45,New,104.0,3590.0,South,37500.0,1,9
7713,Male,56+,Inactive,35.0,850.0,South,,0,2
3961,Male,56+,New,80.0,2130.0,North,39300.0,0,9
7874,Male,36-45,Active,88.0,1050.0,West,18800.0,1,12
3756,Male,46-55,Inactive,117.0,2280.0,North,25700.0,0,11
2983,Male,36-45,Active,114.0,4970.0,East,51200.0,1,11
9580,Male,26-35,Active,69.0,1140.0,South,36900.0,0,3
305,Female,46-55,Active,10.0,130.0,North,20600.0,0,2
7355,Female,36-45,Active,79.0,1380.0,North,27100.0,1,5
2974,Female,46-55,New,44.0,1920.0,North,54000.0,1,5
6329,Male,18-25,Active,110.0,4160.0,East,71200.0,1,9
1651,Male,26-35,Active,24.0,480.0,South,36200.0,1,3
4395,Male,36-45,Active,63.0,3780.0,South,69700.0,1,3
6806,Female,46-55,New,,710.0,East,35000.0,1,4
674,Female,36-45,New,103.0,2030.0,North,38500.0,1,8
93,Male,18-25,Active,48.0,690.0,South,18300.0,1,4
6933,Female,26-35,Inactive,81.0,990.0,North,21300.0,0,2
8936,Female,36-45,Active,114.0,,South,37100.0,1,10
1607,Female,36-45,Active,51.0,2490.0,North,56500.0,1,6
7021,Female,36-45,Active,10.0,160.0,West,27500.0,0,0
7678,Female,36-45,Inactive,0.0,0.0,North,42600.0,1,1
4793,Male,46-55,Inactive,29.0,750.0,,31700.0,0,3
6136,Male,36-45,Active,17.0,550.0,West,43800.0,0,1
3796,Female,36-45,Active,56.0,2380.0,East,43500.0,1,4
7534,Male,26-35,New,19.0,330.0,North,42200.0,1,1
1176,Female,26-35,Inactive,45.0,3050.0,East,108800.0,1,3
9853,Male,26-35,Active,52.0,2600.0,East,53800.0,1,4
4412,Male,18-25,Active,27.0,1190.0,North,51700.0,0,2
347,Female,36-45,Active,35.0,1880.0,West,72200.0,1,4
3707,Male,18-25,New,48.0,880.0,North,30600.0,1,6
2692,Male,36-45,Active,17.0,430.0,East,32600.0,0,1
5518,Male,36-45,Inactive,80.0,3290.0,East,64200.0,1,5
656,Male,26-35,Active,64.0,2350.0,West,50300.0,0,7
7797,Male,56+,Inactive,,160.0,North,55700.0,0,3
2699,Male,46-55,New,117.0,3000.0,East,43700.0,1,9
1570,Female,36-45,Inactive,46.0,1640.0,East,54200.0,1,4
3575,Male,36-45,New,118.0,2550.0,,43300.0,1,12
4569,Female,26-35,New,43.0,3050.0,East,74400.0,1,5
3209,Male,36-45,Inactive,30.0,1010.0,South,53200.0,0,0
6204,Male,36-45,New,99.0,3260.0,North,36500.0,0,8
569,Male,26-35,Active,94.0,5690.0,West,64100.0,1,3
8317,Female,18-25,Active,28.0,630.0,South,36000.0,1,7
3541,Female,18-25,Inactive,36.0,1290.0,West,68400.0,0,3
1370,Male,46-55,Inactive,41.0,580.0,East,19100.0,0,7
5559,Female,18-25,New,99.0,2980.0,,35500.0,1,8
5642,Female,26-35,Active,71.0,7110.0,North,105800.0,1,6
89,Male,18-25,Active,92.0,1770.0,East,31900.0,1,5
8618,Female,36-45,New,107.0,4420.0,South,45200.0,1,9
1966,Male,18-25,New,77.0,2660.0,North,50600.0,1,7
3838,Male,26-35,Active,55.0,3620.0,South,76600.0,1,6
7343,Female,26-35,Active,71.0,890.0,North,25300.0,0,4
2620,Female,56+,Active,108.0,2700.0,South,32400.0,0,5
2253,Male,46-55,Active,83.0,1510.0,North,28600.0,1,4
7411,Female,36-45,Active,38.0,,West,25000.0,0,3
8695,Female,26-35,Inactive,101.0,3000.0,West,77900.0,0,4
7552,Female,18-25,Active,30.0,880.0,East,58400.0,1,7
9196,Male,26-35,Inactive,500.0,720.0,North,63600.0,0,4
3985,Male,56+,Active,97.0,1560.0,,35900.0,0,7
8884,Male,36-45,Inactive,111.0,2250.0,South,34400.0,1,15
1361,Female,46-55,New,80.0,,East,83800.0,0,5
9037,Female,26-35,Inactive,105.0,3850.0,South,48800.0,1,9
6462,Female,46-55,Active,21.0,220.0,West,27500.0,0,0
1703,Male,18-25,Active,19.0,220.0,West,15400.0,1,2
6256,Female,18-25,New,40.0,1300.0,West,42900.0,0,7
6356,Female,26-35,Active,65.0,1820.0,East,43300.0,1,7
6272,Male,56+,Active,22.0,910.0,East,,0,5
8612,Female,36-45,Active,89.0,910.0,East,19700.0,1,9
3773,Female,36-45,Active,27.0,180.0,North,17100.0,1,2
8401,Female,36-45,Active,78.0,2640.0,North,36500.0,0,6
7077,Male,18-25,Inactive,52.0,1570.0,South,30400.0,1,8
5387,Male,26-35,Active,54.0,980.0,South,22400.0,1,7
109,Male,46-55,Active,64.0,2050.0,West,38900.0,1,4
851,Male,26-35,Active,77.0,2940.0,East,57200.0,1,4
9305,Male,56+,New,96.0,6980.0,South,81600.0,0,8
8279,Female,18-25,Inactive,92.0,2600.0,South,47900.0,0,5
2076,Female,56+,Active,18.0,630.0,West,59000.0,1,3
2148,Female,46-55,New,47.0,2520.0,South,92400.0,1,7
5866,Male,18-25,Inactive,35.0,1310.0,North,39200.0,1,0
8092,Male,36-45,Active,24.0,1530.0,West,66500.0,0,3
4985,Male,46-55,Inactive,87.0,2180.0,East,62100.0,0,10
4690,Female,46-55,Active,0.0,0.0,West,39900.0,0,0
4149,Male,36-45,New,8.0,780.0,North,174800.0,1,0
5488,Male,36-45,New,111.0,2820.0,West,39600.0,1,10
6631,Female,18-25,New,15.0,1250.0,South,136200.0,0,1
4610,Female,56+,New,54.0,3100.0,North,71400.0,0,3
719,Female,18-25,Inactive,91.0,1770.0,South,31100.0,1,2
4133,Male,46-55,Inactive,21.0,360.0,North,26900.0,0,3
9641,Female,26-35,Active,32.0,350.0,West,21700.0,1,0
4658,Male,26-35,Active,81.0,3050.0,East,42100.0,1,9
6734,Female,26-35,Active,70.0,710.0,East,15000.0,1,6
8757,Male,26-35,Inactive,43.0,790.0,South,19600.0,0,5
3602,Male,18-25,Active,38.0,290.0,North,19500.0,1,2
3502,Female,26-35,Active,110.0,2270.0,West,46000.0,1,13
9259,Male,56+,Inactive,57.0,500.0,South,22700.0,0,4
7443,Female,36-45,New,26.0,1370.0,East,55600.0,0,2
8372,Female,26-35,Active,75.0,3000.0,East,49400.0,1,2
8096,Female,18-25,Active,74.0,1690.0,North,34500.0,0,4
8935,Female,46-55,Inactive,85.0,1610.0,North,41500.0,0,5
5236,Female,46-55,Active,40.0,660.0,West,31200.0,1,1
6621,Female,36-45,Active,115.0,720.0,North,16500.0,1,9
8834,Female,36-45,New,28.0,1830.0,North,83000.0,0,3
9243,Male,36-45,New,93.0,3190.0,West,37400.0,0,7
4943,Female,36-45,Active,102.0,2110.0,North,53900.0,1,6
7477,Female,36-45,New,41.0,510.0,North,28400.0,0,2
5228,Male,36-45,Active,31.0,810.0,West,41800.0,1,3
2456,Female,46-55,Inactive,3.0,250.0,South,110500.0,1,3
7067,Female,26-35,Active,13.0,240.0,West,32000.0,1,0
1544,Male,46-55,New,110.0,7400.0,South,71100.0,0,5
4636,Male,36-45,New,,210.0,South,21600.0,1,4
2733,Female,26-35,New,51.0,790.0,East,27700.0,0,5
4424,Male,56+,Active,-5.0,1230.0,West,17600.0,0,3
5197,Male,56+,Active,27.0,540.0,North,42700.0,0,3
4048,Male,56+,New,96.0,4830.0,East,70500.0,0,5
7008,Male,26-35,Active,88.0,2230.0,,,1,3
4000,Male,26-35,Active,64.0,2260.0,North,37600.0,1,2
8296,Male,56+,Inactive,107.0,7040.0,West,99300.0,0,5
1524,Female,18-25,Inactive,,2750.0,South,29900.0,0,4
2311,Female,46-55,Active,118.0,2030.0,South,20100.0,1,14
361,Female,46-55,New,106.0,1720.0,East,34600.0,0,6
2612,Female,18-25,New,77.0,1330.0,North,44500.0,0,6
9610,Male,18-25,New,96.0,3270.0,South,44100.0,1,10
2021,Female,26-35,New,7.0,80.0,North,26200.0,1,2
7904,Female,18-25,Inactive,61.0,3750.0,North,104700.0,1,8
102,Female,46-55,Inactive,69.0,,North,34200.0,0,3
6276,Female,18-25,Inactive,59.0,2510.0,South,,1,3
4973,Male,26-35,Inactive,79.0,1270.0,South,23100.0,0,6
1077,Female,18-25,Active,101.0,2390.0,West,32300.0,1,5
2821,Male,18-25,Active,92.0,7170.0,,114800.0,1,6
8297,Female,26-35,New,86.0,3510.0,North,61500.0,0,5
8734,Female,56+,Active,97.0,5830.0,North,60900.0,1,5
1480,Female,46-55,New,41.0,,North,36800.0,0,8
2997,Female,46-55,New,6.0,290.0,North,89000.0,1,4
3945,Male,18-25,Active,31.0,630.0,North,38100.0,1,1
9283,Female,36-45,Active,94.0,2860.0,West,,1,11
591,Female,18-25,Active,66.0,1900.0,West,41000.0,1,2
7260,Male,36-45,Inactive,10.0,230.0,West,34000.0,1,1
2914,Female,56+,Inactive,115.0,2430.0,West,34700.0,1,7
7509,Female,46-55,Active,116.0,2740.0,North,28400.0,1,9
4956,Male,26-35,Active,39.0,770.0,South,28600.0,1,5
3335,Male,26-35,Active,38.0,860.0,West,,1,3
5993,Female,18-25,Active,3.0,,West,65500.0,1,2
519,Male,36-45,Inactive,57.0,1000.0,West,34600.0,0,4
440,Female,26-35,New,40.0,1270.0,East,32200.0,0,3
8112,Male,56+,Active,97.0,1810.0,North,41800.0,0,7
765,Female,36-45,New,112.0,3300.0,North,41800.0,1,5
488,Male,18-25,New,94.0,3800.0,West,69500.0,1,6
6171,Female,46-55,Active,44.0,900.0,East,47800.0,0,1
9408,Male,18-25,Active,37.0,550.0,East,27500.0,1,3
8361,Male,36-45,Active,3.0,130.0,West,51100.0,0,2
7488,Male,26-35,Active,115.0,5110.0,North,63300.0,0,11
3800,Male,36-45,Active,63.0,1840.0,North,59400.0,1,6
5339,Female,46-55,Inactive,100.0,3520.0,West,50000.0,0,6
7293,Female,56+,Active,97.0,3720.0,West,66800.0,0,7
8635,Male,46-55,Active,32.0,,South,26800.0,0,4
3383,Female,26-35,Active,56.0,1890.0,East,47000.0,1,5
3291,Male,46-55,Active,51.0,870.0,South,29700.0,0,4
